loan_id,no_of_dependents,education,self_employed,annual_income,loan_amount,credit_score,res_assets,com_assets,bank_assets,total_assets,loan_status
35,3,1,No,49000,119000,612,97000,12000,58000,167000,1
36,2,1,Yes,17000,34000,691,27000,28000,9000,64000,1
37,3,0,No,16000,62000,636,34000,7000,14000,55000,1
38,5,1,Yes,80000,272000,348,64000,3000,71000,138000,0
39,5,1,No,36000,77000,830,70000,13000,29000,112000,1
40,3,0,Yes,15000,51000,352,1000,2000,9000,12000,0
41,1,1,No,78000,181000,712,86000,112000,90000,288000,1
42,2,0,No,91000,249000,822,223000,121000,52000,396000,1
43,3,1,No,14000,34000,540,2000,15000,8000,25000,0
44,2,1,Yes,8000,23000,342,22000,13000,8000,43000,0
45,5,1,No,65000,134000,787,182000,3000,54000,239000,1
46,4,1,No,80000,278000,331,130000,63000,109000,302000,0
47,3,0,Yes,42000,146000,679,24000,69000,49000,142000,1
48,1,1,Yes,49000,191000,677,54000,91000,65000,210000,1
49,3,0,No,55000,205000,634,8000,86000,82000,176000,1
50,1,0,Yes,95000,191000,662,1000,105000,117000,223000,1
51,4,1,No,73000,254000,502,5000,18000,105000,128000,0
52,2,1,No,87000,247000,435,68000,35000,113000,216000,0
53,5,0,No,38000,76000,689,87000,1000,34000,122000,1
54,1,0,Yes,84000,230000,657,154000,148000,82000,384000,1
55,2,1,Yes,51000,197000,590,74000,93000,34000,201000,1
56,5,0,No,67000,245000,818,12000,56000,62000,130000,1
57,2,0,No,43000,106000,431,21000,15000,52000,88000,0
58,5,1,Yes,93000,305000,841,193000,103000,87000,383000,1
59,1,1,No,74000,184000,421,185000,91000,41000,317000,0
60,4,0,Yes,55000,182000,797,-1000,49000,48000,96000,1
61,2,0,No,85000,189000,478,238000,163000,114000,515000,0
62,3,0,Yes,96000,305000,669,47000,19000,93000,159000,1
63,5,0,Yes,88000,289000,365,244000,86000,47000,377000,0
64,3,0,Yes,33000,75000,586,16000,56000,29000,101000,1
65,4,1,Yes,39000,123000,784,76000,69000,28000,173000,1
66,1,1,No,41000,103000,364,95000,61000,28000,184000,0
67,3,0,No,83000,291000,715,61000,119000,119000,299000,1
68,0,0,Yes,27000,101000,693,2000,17000,14000,33000,0
69,4,1,No,56000,124000,777,55000,31000,55000,141000,1
70,0,1,No,19000,50000,312,40000,28000,24000,92000,0
71,4,0,Yes,5000,15000,340,1000,2000,6000,9000,0
72,5,1,Yes,53000,186000,386,27000,97000,42000,166000,1
73,5,0,No,70000,183000,418,184000,117000,76000,377000,0
74,3,0,Yes,58000,167000,735,39000,94000,56000,189000,1
75,2,0,No,26000,84000,494,65000,38000,20000,123000,0
76,2,0,No,19000,65000,671,6000,25000,11000,42000,1
77,4,1,No,57000,148000,697,143000,78000,63000,284000,1
78,0,1,No,90000,335000,801,116000,89000,111000,316000,1
79,2,0,No,85000,294000,576,176000,56000,90000,322000,1
80,0,0,No,7000,14000,639,19000,7000,9000,35000,1
81,4,1,No,35000,89000,470,13000,22000,20000,55000,0
82,0,0,No,88000,312000,826,29000,5000,86000,120000,1
83,2,0,Yes,99000,212000,363,255000,114000,68000,437000,0
84,3,1,No,36000,86000,613,94000,3000,33000,130000,1
85,3,0,Yes,30000,82000,713,53000,58000,34000,145000,1
86,2,1,No,68000,212000,439,171000,47000,36000,254000,0
87,5,0,Yes,11000,38000,387,13000,12000,16000,41000,0
88,1,0,Yes,87000,283000,402,204000,136000,102000,442000,0
89,4,1,Yes,20000,80000,837,51000,26000,29000,106000,1
90,2,0,No,98000,376000,641,241000,0,76000,317000,1
91,4,1,No,57000,211000,489,5000,43000,60000,108000,0
92,4,1,No,88000,207000,540,192000,32000,127000,351000,0
93,4,1,No,38000,89000,844,91000,35000,47000,173000,1
94,1,1,No,17000,64000,452,9000,11000,21000,41000,0
95,2,1,No,10000,20000,366,12000,4000,13000,29000,0
96,5,1,No,3000,11000,300,1000,5000,4000,10000,1
97,2,1,Yes,66000,150000,470,12000,48000,70000,130000,0
98,2,0,No,87000,250000,861,147000,85000,73000,305000,1
99,4,1,No,94000,294000,562,259000,152000,71000,482000,1
100,0,1,No,44000,108000,463,24000,48000,47000,119000,0
101,4,0,No,4000,9000,478,7000,1000,1000,9000,0
102,2,0,Yes,3000,11000,702,3000,2000,2000,7000,1
103,2,0,Yes,43000,129000,618,114000,36000,24000,174000,1
104,4,1,No,16000,45000,633,7000,17000,19000,43000,1
105,5,0,Yes,62000,236000,331,185000,103000,87000,375000,0
106,3,0,Yes,42000,97000,841,78000,3000,51000,132000,1
107,4,0,Yes,90000,181000,764,6000,165000,116000,287000,1
108,0,1,No,27000,106000,591,13000,27000,18000,58000,1
109,1,1,Yes,97000,359000,719,196000,76000,109000,381000,1
110,2,1,No,33000,68000,317,34000,3000,36000,73000,0
111,0,0,No,3000,11000,778,8000,2000,1000,11000,1
112,3,1,Yes,74000,182000,302,56000,31000,50000,137000,0
113,5,0,No,71000,197000,502,73000,56000,98000,227000,0
114,5,0,Yes,73000,221000,879,195000,106000,98000,399000,1
115,1,0,No,84000,234000,437,154000,58000,81000,293000,0
116,0,0,Yes,33000,108000,797,6000,60000,33000,99000,1
117,4,0,Yes,58000,232000,456,161000,42000,75000,278000,0
118,0,0,No,6000,16000,647,15000,6000,7000,28000,1
119,0,0,No,72000,158000,379,127000,122000,36000,285000,0
120,1,0,Yes,91000,329000,717,22000,20000,59000,101000,1
121,5,1,No,9000,23000,545,1000,2000,8000,11000,0
122,2,1,No,8000,32000,317,3000,10000,9000,22000,0
123,1,0,No,85000,329000,570,51000,62000,55000,168000,1
124,0,0,Yes,90000,187000,865,268000,0,113000,381000,1
125,3,1,No,70000,195000,719,122000,103000,102000,327000,1
126,3,1,No,2000,6000,821,4000,1000,1000,6000,1
127,4,0,Yes,4000,8000,859,9000,5000,2000,16000,1
128,3,0,No,51000,182000,395,1000,80000,63000,144000,0
129,2,0,Yes,7000,26000,429,16000,13000,8000,37000,0
130,3,1,No,4000,12000,861,2000,6000,2000,10000,1
131,0,0,Yes,95000,208000,565,151000,119000,134000,404000,1
132,5,1,No,88000,226000,357,79000,86000,49000,214000,0
133,3,0,Yes,18000,36000,465,6000,5000,26000,37000,0
134,4,0,Yes,68000,139000,479,117000,91000,96000,304000,0
135,3,0,No,15000,55000,717,21000,8000,13000,42000,1
136,3,1,No,16000,55000,425,6000,8000,9000,23000,0
137,2,0,No,46000,167000,786,2000,59000,61000,122000,1
138,5,0,Yes,22000,67000,382,44000,13000,11000,68000,0
139,3,0,Yes,29000,85000,564,10000,31000,18000,59000,1
140,0,1,No,2000,7000,501,5000,2000,1000,8000,0
141,2,0,Yes,25000,94000,727,66000,41000,33000,140000,1
142,4,0,No,36000,75000,894,11000,65000,28000,104000,1
143,0,1,Yes,55000,167000,829,55000,13000,59000,127000,1
144,4,0,No,66000,174000,506,26000,100000,72000,198000,0
145,2,1,Yes,86000,321000,802,94000,167000,98000,359000,1
146,5,0,No,6000,15000,543,3000,9000,3000,15000,0
147,3,1,Yes,14000,32000,772,24000,9000,16000,49000,1
148,3,1,No,40000,111000,572,97000,1000,24000,122000,1
149,0,0,Yes,49000,119000,709,146000,9000,38000,193000,1
150,5,1,No,20000,62000,402,40000,21000,11000,72000,0
151,1,0,Yes,52000,193000,481,143000,95000,42000,280000,0
152,5,1,Yes,89000,288000,772,136000,55000,84000,275000,1
153,1,1,Yes,65000,206000,306,159000,19000,32000,210000,1
154,2,0,No,13000,45000,415,0,9000,12000,21000,0
155,3,0,No,94000,350000,548,182000,44000,48000,274000,0
156,5,0,No,50000,112000,701,91000,5000,46000,142000,1
157,2,1,No,30000,77000,890,47000,43000,21000,111000,1
158,5,0,Yes,99000,333000,364,53000,187000,83000,323000,0
159,5,1,Yes,7000,13000,704,16000,0,6000,22000,1
160,3,1,Yes,40000,106000,318,15000,51000,49000,115000,0
161,5,0,No,31000,96000,761,58000,18000,42000,118000,1
162,4,0,No,45000,151000,693,37000,15000,60000,112000,1
163,3,0,No,97000,206000,524,242000,111000,61000,414000,0
164,2,0,Yes,20000,53000,681,49000,14000,29000,92000,1
165,2,1,Yes,81000,223000,737,223000,126000,73000,422000,1
166,0,0,No,57000,159000,638,1000,95000,45000,141000,1
167,4,0,No,58000,128000,656,5000,50000,28000,83000,1
168,1,1,No,18000,65000,540,25000,32000,11000,68000,0
169,4,0,Yes,91000,352000,341,10000,3000,82000,95000,0
170,0,0,Yes,48000,175000,371,117000,68000,35000,220000,1
171,3,0,Yes,38000,105000,886,40000,5000,23000,68000,1
172,0,0,No,19000,41000,801,4000,8000,12000,24000,1
173,3,0,Yes,36000,95000,748,77000,24000,26000,127000,1
174,2,0,Yes,74000,282000,376,219000,50000,52000,321000,0
175,4,0,Yes,66000,143000,371,108000,95000,74000,277000,0
176,2,1,No,18000,53000,826,45000,7000,13000,65000,1
177,4,0,No,92000,272000,873,45000,18000,114000,177000,1
178,5,0,Yes,24000,86000,309,5000,6000,28000,39000,0
179,4,0,No,56000,133000,869,33000,75000,65000,173000,1
180,5,1,No,38000,139000,534,47000,29000,28000,104000,0
181,3,0,Yes,45000,179000,787,98000,36000,42000,176000,1
182,0,1,Yes,9000,22000,566,1000,7000,6000,14000,1
183,0,0,No,28000,99000,742,49000,13000,17000,79000,1
184,2,0,No,75000,231000,824,121000,109000,95000,325000,1
185,4,1,No,14000,31000,575,30000,21000,14000,65000,1
186,2,1,Yes,38000,109000,766,19000,39000,30000,88000,1
187,1,0,Yes,17000,50000,888,29000,9000,22000,60000,1
188,3,1,Yes,90000,304000,638,168000,110000,92000,370000,1
189,5,0,Yes,73000,233000,622,71000,116000,105000,292000,1
190,1,0,No,74000,198000,458,126000,62000,40000,228000,0
191,1,0,No,90000,282000,327,17000,23000,112000,152000,0
192,0,0,No,30000,65000,612,88000,34000,17000,139000,1
193,1,1,No,8000,29000,682,22000,11000,7000,40000,1
194,2,1,No,48000,132000,583,137000,58000,52000,247000,1
195,5,0,No,64000,183000,697,100000,36000,36000,172000,1
196,3,1,No,92000,271000,306,58000,115000,96000,269000,0
197,4,0,Yes,4000,15000,669,-1000,6000,5000,10000,1
198,2,0,No,28000,60000,816,63000,42000,34000,139000,1
199,4,0,Yes,85000,289000,455,152000,58000,94000,304000,0
200,3,1,Yes,47000,164000,318,114000,81000,43000,238000,0
201,4,0,Yes,98000,212000,355,220000,89000,144000,453000,0
202,2,0,Yes,38000,89000,389,2000,56000,22000,80000,0
203,2,1,No,5000,15000,888,15000,3000,6000,24000,1
204,2,1,Yes,69000,156000,352,130000,53000,100000,283000,0
205,4,0,Yes,96000,301000,870,3000,67000,56000,126000,1
206,3,0,No,29000,65000,827,83000,6000,32000,121000,1
207,2,1,No,98000,209000,768,34000,102000,134000,270000,1
208,0,1,No,71000,154000,707,103000,108000,58000,269000,1
209,1,0,Yes,77000,191000,355,113000,49000,66000,228000,0
210,3,1,No,14000,33000,652,1000,21000,19000,41000,1
211,3,1,No,78000,159000,665,144000,9000,54000,207000,1
212,5,0,Yes,17000,60000,420,5000,16000,23000,44000,0
213,2,0,No,85000,327000,471,126000,94000,125000,345000,0
214,5,0,No,19000,75000,715,51000,28000,28000,107000,1
215,2,0,Yes,67000,152000,689,0,82000,68000,150000,1
216,3,1,Yes,69000,164000,787,111000,61000,38000,210000,1
217,2,1,No,26000,78000,819,31000,43000,15000,89000,1
218,4,1,Yes,96000,211000,809,161000,95000,87000,343000,1
219,1,0,Yes,68000,170000,744,155000,39000,35000,229000,1
220,0,0,No,32000,113000,484,35000,55000,21000,111000,0
221,4,0,No,29000,104000,673,51000,17000,17000,85000,1
222,3,1,Yes,79000,212000,695,138000,106000,49000,293000,1
223,4,0,Yes,39000,124000,473,64000,47000,38000,149000,0
224,4,1,Yes,46000,110000,491,90000,40000,35000,165000,0
225,3,0,Yes,7000,17000,733,12000,8000,5000,25000,1
226,0,0,No,52000,156000,434,141000,58000,55000,254000,0
227,3,0,Yes,59000,206000,777,19000,46000,64000,129000,1
228,4,1,No,72000,191000,774,94000,70000,36000,200000,1
229,1,0,Yes,87000,270000,717,255000,86000,91000,432000,1
230,3,0,Yes,11000,35000,503,30000,4000,12000,46000,0
231,1,1,Yes,40000,109000,598,36000,66000,44000,146000,1
232,2,1,No,98000,324000,543,242000,175000,77000,494000,1
233,0,0,Yes,27000,68000,796,7000,42000,19000,68000,1
234,3,0,Yes,88000,346000,386,148000,165000,60000,373000,0
235,5,0,Yes,33000,78000,632,85000,5000,49000,139000,1
236,1,1,Yes,69000,234000,481,187000,11000,102000,300000,1
237,3,1,Yes,9000,35000,770,7000,0,6000,13000,0
238,3,1,Yes,41000,155000,667,28000,16000,40000,84000,1
239,3,0,Yes,47000,175000,585,12000,31000,49000,92000,1
240,5,1,Yes,34000,116000,479,92000,57000,24000,173000,0
241,2,1,No,96000,225000,851,74000,162000,127000,363000,1
242,3,0,Yes,70000,162000,378,200000,126000,55000,381000,0
243,5,1,No,57000,129000,807,41000,9000,55000,105000,1
244,1,0,Yes,82000,324000,831,228000,123000,78000,429000,1
245,2,0,No,21000,51000,674,22000,32000,24000,78000,1
246,1,0,Yes,80000,281000,725,19000,128000,75000,222000,1
247,2,0,No,80000,293000,600,165000,132000,65000,362000,1
248,0,0,Yes,94000,270000,536,44000,17000,48000,109000,0
249,0,1,No,84000,206000,477,15000,15000,119000,149000,0
250,1,0,Yes,19000,50000,560,10000,19000,14000,43000,1
251,0,0,Yes,42000,164000,539,95000,21000,31000,147000,0
252,5,1,No,26000,91000,852,37000,7000,33000,77000,1
253,3,0,No,37000,85000,853,83000,57000,49000,189000,1
254,0,1,No,88000,309000,729,17000,7000,114000,138000,1
255,2,0,No,21000,47000,546,60000,32000,15000,107000,0
256,3,1,Yes,9000,24000,489,8000,0,5000,13000,0
257,3,1,Yes,98000,354000,869,144000,164000,103000,411000,1
258,2,0,No,80000,200000,502,41000,22000,99000,162000,0
259,0,1,No,98000,388000,652,232000,190000,54000,476000,1
260,0,0,Yes,3000,11000,789,4000,1000,4000,9000,1
261,4,0,No,27000,81000,325,50000,8000,34000,92000,1
262,3,1,Yes,74000,196000,716,41000,89000,42000,172000,1
263,3,1,No,92000,343000,523,256000,40000,88000,384000,0
264,5,0,No,95000,222000,352,245000,0,70000,315000,0
265,5,1,Yes,38000,144000,345,33000,8000,47000,88000,1
266,0,1,No,83000,194000,649,25000,161000,113000,299000,1
267,2,1,Yes,28000,74000,666,1000,23000,34000,58000,1
268,0,1,No,86000,209000,813,113000,119000,48000,280000,1
269,0,0,No,54000,168000,599,53000,74000,76000,203000,1
270,5,1,Yes,42000,94000,678,47000,55000,57000,159000,1
271,5,0,No,52000,122000,513,134000,20000,54000,208000,0
272,5,1,No,94000,279000,870,11000,2000,104000,117000,1
273,3,1,No,88000,204000,483,32000,114000,118000,264000,0
274,1,1,Yes,59000,167000,308,58000,88000,53000,199000,0
275,3,1,Yes,17000,49000,591,47000,10000,14000,71000,1
276,1,0,No,70000,230000,886,140000,37000,36000,213000,1
277,4,0,No,17000,40000,829,0,16000,17000,33000,1
278,0,0,No,15000,49000,651,16000,28000,8000,52000,1
279,4,0,No,20000,47000,733,37000,37000,28000,102000,1
280,5,1,Yes,39000,155000,433,95000,54000,46000,195000,0
281,1,1,Yes,9000,36000,713,13000,10000,12000,35000,1
282,1,1,No,69000,225000,403,8000,84000,63000,155000,0
283,0,1,Yes,28000,78000,405,78000,25000,34000,137000,0
284,3,1,Yes,68000,199000,516,160000,60000,85000,305000,0
285,4,0,Yes,6000,18000,417,17000,7000,8000,32000,0
286,1,0,No,47000,140000,468,113000,18000,46000,177000,0
287,5,1,Yes,30000,118000,672,87000,36000,41000,164000,1
288,5,0,No,40000,139000,530,60000,56000,60000,176000,0
289,1,0,Yes,31000,113000,824,37000,60000,44000,141000,1
290,1,0,Yes,77000,255000,549,181000,106000,70000,357000,0
291,5,0,Yes,43000,93000,450,21000,67000,41000,129000,0
292,1,1,Yes,58000,195000,431,138000,50000,33000,221000,0
293,3,1,Yes,36000,107000,312,23000,16000,52000,91000,0
294,0,0,Yes,29000,76000,320,80000,56000,31000,167000,0
295,0,1,No,88000,202000,433,160000,42000,124000,326000,0
296,1,0,Yes,3000,10000,431,4000,5000,1000,10000,0
297,5,0,Yes,86000,289000,516,99000,18000,68000,185000,0
298,2,0,Yes,35000,120000,476,11000,68000,29000,108000,0
299,5,1,No,8000,26000,560,1000,2000,10000,13000,1
300,2,1,No,80000,271000,674,144000,4000,64000,212000,1
301,0,0,Yes,99000,382000,573,172000,100000,59000,331000,1
302,2,0,No,33000,66000,331,63000,20000,27000,110000,0
303,4,1,Yes,20000,67000,633,1000,8000,20000,29000,1
304,3,0,No,49000,129000,877,18000,70000,33000,121000,1
305,5,0,Yes,92000,236000,656,14000,112000,49000,175000,1
306,0,0,No,75000,182000,782,74000,120000,41000,235000,1
307,5,0,No,90000,293000,531,104000,95000,58000,257000,1
308,3,0,No,14000,41000,455,30000,14000,21000,65000,0
309,3,1,No,96000,199000,452,42000,162000,66000,270000,0
310,2,1,No,84000,332000,474,196000,150000,115000,461000,0
311,3,0,No,64000,244000,483,78000,24000,45000,147000,1
312,4,1,No,59000,168000,481,69000,114000,33000,216000,0
313,2,1,Yes,22000,51000,859,38000,12000,31000,81000,1
314,4,1,Yes,56000,141000,696,90000,92000,68000,250000,1
315,4,0,No,98000,287000,778,166000,74000,111000,351000,1
316,4,1,No,44000,146000,499,13000,65000,57000,135000,1
317,2,0,Yes,24000,49000,888,64000,43000,34000,141000,1
318,1,1,No,44000,108000,674,96000,27000,53000,176000,1
319,4,1,No,37000,132000,802,98000,24000,43000,165000,1
320,4,0,Yes,23000,78000,540,15000,34000,28000,77000,0
321,4,1,Yes,59000,196000,726,174000,68000,80000,322000,1
322,4,0,Yes,64000,235000,485,73000,27000,39000,139000,1
323,4,1,Yes,49000,171000,612,13000,70000,50000,133000,1
324,3,0,Yes,95000,242000,879,31000,172000,127000,330000,1
325,2,0,No,57000,164000,708,37000,8000,44000,89000,1
326,2,0,Yes,27000,57000,850,35000,50000,39000,124000,1
327,2,0,Yes,39000,113000,516,31000,0,46000,77000,0
328,0,0,No,78000,288000,465,47000,75000,74000,196000,0
329,0,1,No,11000,32000,716,18000,14000,15000,47000,1
330,4,0,No,2000,6000,404,0,1000,0,1000,0
331,0,0,Yes,47000,106000,512,84000,40000,70000,194000,0
332,3,0,Yes,82000,206000,441,161000,114000,61000,336000,0
333,2,0,Yes,46000,184000,555,77000,24000,42000,143000,1
334,5,0,No,18000,70000,466,26000,21000,19000,66000,0
335,3,1,Yes,32000,86000,427,39000,18000,47000,104000,0
336,4,0,Yes,55000,200000,593,151000,27000,49000,227000,1
337,3,1,No,79000,183000,731,42000,34000,84000,160000,1
338,1,1,Yes,40000,101000,451,70000,39000,39000,148000,0
339,3,0,Yes,68000,169000,628,36000,9000,49000,94000,1
340,1,0,No,27000,94000,704,53000,23000,24000,100000,1
341,2,0,No,68000,235000,341,193000,118000,85000,396000,0
342,5,1,No,86000,210000,465,117000,149000,99000,365000,0
343,4,1,No,80000,301000,431,119000,138000,115000,372000,1
344,1,1,Yes,37000,126000,424,54000,11000,44000,109000,0
345,0,1,No,26000,51000,678,5000,12000,31000,48000,1
346,4,1,No,42000,168000,381,96000,38000,59000,193000,0
347,5,1,Yes,80000,280000,449,185000,15000,39000,239000,0
348,1,0,No,71000,235000,768,64000,121000,73000,258000,1
349,0,0,No,20000,70000,666,0,12000,14000,26000,0
350,4,0,Yes,58000,133000,742,161000,93000,70000,324000,1
351,3,0,Yes,67000,158000,445,105000,76000,91000,272000,0
352,2,1,No,73000,287000,634,59000,38000,108000,205000,1
353,4,0,No,33000,97000,782,25000,0,22000,47000,1
354,0,1,No,30000,70000,781,72000,6000,27000,105000,1
355,4,0,No,79000,172000,318,142000,95000,90000,327000,0
356,5,0,No,76000,241000,721,219000,115000,72000,406000,1
357,5,0,No,37000,98000,563,95000,51000,30000,176000,1
358,2,0,No,84000,263000,419,229000,79000,62000,370000,1
359,0,1,Yes,82000,208000,372,38000,1000,52000,91000,0
360,0,0,No,29000,95000,885,43000,23000,35000,101000,1
361,1,0,Yes,99000,384000,596,100000,93000,68000,261000,1
362,0,1,No,44000,141000,349,33000,13000,62000,108000,1
363,1,0,Yes,90000,322000,468,45000,164000,109000,318000,0
364,3,0,Yes,68000,269000,818,147000,104000,73000,324000,1
365,2,0,No,87000,280000,543,169000,60000,67000,296000,0
366,3,1,No,94000,219000,685,81000,56000,50000,187000,1
367,3,0,Yes,60000,125000,851,146000,50000,50000,246000,1
368,1,0,Yes,94000,298000,377,241000,185000,117000,543000,0
369,0,0,Yes,10000,40000,620,24000,13000,11000,48000,1
370,3,1,Yes,9000,23000,611,6000,15000,5000,26000,1
371,4,0,No,21000,77000,767,12000,17000,13000,42000,1
372,5,1,Yes,11000,32000,592,32000,7000,5000,44000,1
373,0,1,Yes,6000,23000,319,16000,8000,7000,31000,1
374,4,0,Yes,92000,255000,900,94000,105000,128000,327000,1
375,2,0,Yes,36000,128000,814,86000,41000,41000,168000,1
376,5,0,Yes,13000,50000,755,21000,22000,19000,62000,1
377,5,1,Yes,77000,168000,584,86000,48000,80000,214000,1
378,4,1,Yes,95000,235000,380,229000,67000,73000,369000,0
379,2,0,Yes,50000,176000,465,62000,52000,52000,166000,0
380,0,0,No,5000,18000,531,13000,5000,7000,25000,1
381,1,1,Yes,83000,321000,814,185000,27000,75000,287000,1
382,0,1,No,53000,179000,678,47000,39000,36000,122000,1
383,2,0,Yes,93000,290000,655,79000,68000,49000,196000,1
384,3,0,No,23000,74000,682,65000,24000,21000,110000,1
385,1,0,No,4000,13000,695,2000,5000,1000,8000,1
386,3,0,No,32000,108000,833,26000,10000,26000,62000,1
387,5,0,Yes,94000,353000,302,41000,125000,129000,295000,0
388,1,1,No,23000,66000,357,59000,2000,22000,83000,0
389,5,0,No,43000,145000,302,125000,43000,51000,219000,0
390,0,1,Yes,62000,224000,873,157000,66000,82000,305000,1
391,0,0,Yes,72000,198000,658,127000,81000,73000,281000,1
392,5,1,Yes,24000,87000,877,28000,29000,11000,68000,1
393,3,0,No,29000,63000,648,34000,34000,14000,82000,1
394,1,1,No,14000,52000,730,29000,0,7000,36000,1
395,4,0,Yes,22000,82000,737,58000,28000,14000,100000,1
396,2,1,Yes,8000,32000,584,0,2000,7000,9000,0
397,0,1,No,6000,17000,621,4000,4000,2000,10000,1
398,4,1,Yes,7000,27000,583,11000,12000,3000,26000,1
399,2,0,No,84000,259000,621,86000,134000,42000,262000,1
400,2,0,No,71000,215000,610,58000,121000,93000,272000,1
401,4,1,No,54000,157000,452,137000,26000,66000,229000,0
402,5,1,No,37000,73000,339,93000,1000,53000,147000,0
403,3,1,Yes,52000,152000,650,13000,57000,41000,111000,1
404,4,0,Yes,2000,7000,672,2000,2000,3000,7000,1
405,3,1,No,5000,10000,501,8000,8000,2000,18000,0
406,2,0,Yes,18000,57000,809,12000,19000,24000,55000,1
407,5,1,Yes,92000,294000,318,180000,59000,54000,293000,0
408,4,0,No,9000,33000,649,0,4000,12000,16000,1
409,3,0,No,75000,283000,367,92000,113000,70000,275000,0
410,5,0,No,30000,118000,847,82000,22000,23000,127000,1
411,5,1,No,71000,189000,360,107000,11000,85000,203000,0
412,1,1,Yes,35000,72000,865,41000,32000,42000,115000,1
413,4,0,No,49000,188000,880,42000,47000,26000,115000,1
414,1,1,No,41000,84000,608,14000,80000,44000,138000,1
415,0,1,Yes,8000,21000,760,3000,1000,6000,10000,1
416,3,1,Yes,17000,46000,385,15000,13000,17000,45000,0
417,0,1,Yes,61000,233000,478,38000,23000,49000,110000,0
418,1,1,Yes,21000,77000,327,50000,5000,23000,78000,0
419,0,1,No,31000,93000,663,13000,14000,38000,65000,1
420,2,0,Yes,17000,35000,693,22000,14000,17000,53000,1
421,3,1,No,17000,54000,710,48000,7000,17000,72000,1
422,4,0,Yes,40000,145000,711,24000,57000,41000,122000,1
423,5,1,No,56000,184000,386,113000,67000,56000,236000,0
424,4,1,Yes,39000,119000,855,102000,40000,28000,170000,1
425,4,1,Yes,61000,153000,573,11000,99000,84000,194000,1
426,0,1,Yes,11000,28000,431,5000,3000,14000,22000,0
427,2,1,No,55000,148000,364,130000,45000,45000,220000,0
428,4,1,Yes,11000,36000,711,25000,5000,6000,36000,1
429,4,0,Yes,4000,9000,771,10000,5000,5000,20000,1
430,3,1,No,92000,364000,669,31000,127000,123000,281000,1
431,4,0,Yes,93000,275000,338,215000,5000,66000,286000,0
432,1,1,No,11000,35000,562,23000,12000,5000,40000,1
433,3,0,No,56000,187000,769,80000,82000,48000,210000,1
434,0,1,Yes,63000,215000,629,6000,34000,52000,92000,1
435,3,1,No,88000,181000,699,64000,21000,94000,179000,1
436,0,0,No,84000,208000,590,51000,89000,108000,248000,1
437,3,1,Yes,16000,57000,707,33000,27000,23000,83000,1
438,3,0,Yes,45000,114000,391,85000,68000,45000,198000,0
439,5,0,No,65000,185000,891,136000,33000,71000,240000,1
440,3,1,Yes,95000,206000,731,134000,38000,92000,264000,1
441,3,0,No,47000,167000,775,40000,17000,35000,92000,1
442,5,1,Yes,96000,324000,897,35000,154000,62000,251000,1
443,5,1,No,80000,267000,794,80000,147000,78000,305000,1
444,2,1,No,77000,167000,555,129000,29000,85000,243000,1
445,1,0,Yes,36000,103000,536,68000,5000,27000,100000,0
446,2,0,No,7000,17000,839,1000,7000,9000,17000,1
447,0,1,Yes,14000,51000,890,41000,19000,19000,79000,1
448,1,1,Yes,86000,279000,415,122000,148000,79000,349000,0
